WorldSkills Lyon 2024
WorldSkills Competition 2022 Special Edition
WorldSkills Shanghai 2022
WorldSkills Kazan 2019
WorldSkills Abu Dhabi 2017
WorldSkills São Paulo 2015
WorldSkills Leipzig 2013
WorldSkills London 2011
WorldSkills Calgary 2009
WorldSkills Shizuoka 2007
WorldSkills Helsinki 2005
WorldSkills St Gallen 2003
WorldSkills Seoul 2001
Montreal, Canada
St. Gallen, Switzerland
Lyon, France
Taipei, Chinese Taipei
Amsterdam, Netherlands
Birmingham, United Kingdom
Sydney, Australia
Osaka, Japan
Linz, Austria
Atlanta, USA
Cork, Ireland
Busan, Korea
Utrecht, Netherlands
Madrid, Spain
Munich, Germany
Gijón, Spain
Tokyo, Japan
Brussels, Belgium
Bern, Switzerland
Madrid, Spain
Utrecht, Netherlands
Glasgow, United Kingdom
Lisbon, Portugal
Dublin, Ireland
Gijón, Spain
Duisburg, Germany
Barcelona, Spain
Modena, Italy
Brussels, Belgium
Madrid, Spain
Madrid, Spain
Madrid, Spain
Madrid, Spain
Madrid, Spain
Madrid, Spain
